Date (Daily +00:00: 01/01/2012 - 12/31/2012),Series,Value
2012-01-01,CNN,0.4697
2012-01-02,CNN,0.1848
2012-01-03,CNN,0.6654
2012-01-04,CNN,0.2178
2012-01-05,CNN,0.9255
2012-01-06,CNN,0.546
2012-01-07,CNN,0.6231
2012-01-08,CNN,0.1918
2012-01-09,CNN,0.2708
2012-01-10,CNN,0.2313
2012-01-11,CNN,0.3731
2012-01-12,CNN,0.2737
2012-01-13,CNN,0.1834
2012-01-14,CNN,0.2989
2012-01-15,CNN,0.1206
2012-01-16,CNN,0.0462
2012-01-17,CNN,0.2335
2012-01-18,CNN,0.5605
2012-01-19,CNN,0.3165
2012-01-20,CNN,0.3804
2012-01-21,CNN,0.4639
2012-01-22,CNN,0.2113
2012-01-23,CNN,0.1642
2012-01-24,CNN,0.1656
2012-01-25,CNN,0.1812
2012-01-26,CNN,0.1837
2012-01-27,CNN,0.5563
2012-01-28,CNN,0.6933
2012-01-29,CNN,0.402
2012-01-30,CNN,1.4573
2012-01-31,CNN,0.7319
2012-02-01,CNN,2.0072
2012-02-02,CNN,3.3517
2012-02-03,CNN,0.7118
2012-02-04,CNN,0.7584
2012-02-05,CNN,1.4682
2012-02-06,CNN,0.7757
2012-02-07,CNN,0.5798
2012-02-08,CNN,0.1823
2012-02-09,CNN,0.5425
2012-02-10,CNN,0.4522
2012-02-11,CNN,0.7605
2012-02-12,CNN,0.8981
2012-02-13,CNN,0.4518
2012-02-14,CNN,0.458
2012-02-15,CNN,0.5752
2012-02-16,CNN,0.5908
2012-02-17,CNN,0.618
2012-02-18,CNN,0.1833
2012-02-19,CNN,0.3117
2012-02-20,CNN,0.4703
2012-02-21,CNN,0.5033
2012-02-22,CNN,0.6399
2012-02-23,CNN,0.3656
2012-02-24,CNN,0.7675
2012-02-25,CNN,0.6386
2012-02-26,CNN,0.6288
2012-02-27,CNN,0.8497
2012-02-28,CNN,1.2387
2012-02-29,CNN,0.381
2012-03-01,CNN,0.2254
2012-03-02,CNN,0.155
2012-03-03,CNN,0.8375
2012-03-04,CNN,0.3842
2012-03-05,CNN,0.4857
2012-03-06,CNN,0.4949
2012-03-07,CNN,0.3858
2012-03-08,CNN,0.3862
2012-03-09,CNN,0.6722
2012-03-10,CNN,0.392
2012-03-11,CNN,0.5445
2012-03-12,CNN,0.5521
2012-03-13,CNN,0.6554
2012-03-14,CNN,0.2181
2012-03-15,CNN,0.3372
2012-03-16,CNN,0.247
2012-03-17,CNN,0.6492
2012-03-18,CNN,0.1889
2012-03-19,CNN,0.7582
2012-03-20,CNN,0.1332
2012-03-21,CNN,0.5447
2012-03-22,CNN,0.7151
2012-03-23,CNN,0.6737
2012-03-24,CNN,0.3634
2012-03-25,CNN,0.1078
2012-03-26,CNN,0.4769
2012-03-27,CNN,0.5456
2012-03-28,CNN,0.6704
2012-03-29,CNN,0.2742
2012-03-30,CNN,0.2062
2012-03-31,CNN,0.3949
2012-04-01,CNN,0.401
2012-04-02,CNN,0.2509
2012-04-03,CNN,0.2653
2012-04-04,CNN,0.3654
2012-04-05,CNN,0.4093
2012-04-06,CNN,0.5797
2012-04-07,CNN,0.1373
2012-04-08,CNN,0.3256
2012-04-09,CNN,1.6415
2012-04-10,CNN,2.0413
2012-04-11,CNN,0.2677
2012-04-12,CNN,0.423
