Date (Daily +00:00: 01/01/2013 - 12/31/2013),Series,Value
2013-01-01,CNN,0.4552
2013-01-02,CNN,0.1166
2013-01-03,CNN,0.2598
2013-01-04,CNN,0.3136
2013-01-05,CNN,0.2598
2013-01-06,CNN,0.3171
2013-01-07,CNN,0.2943
2013-01-08,CNN,0.4542
2013-01-09,CNN,0.5239
2013-01-10,CNN,0.138
2013-01-11,CNN,0.3387
2013-01-12,CNN,0.1624
2013-01-13,CNN,0.2415
2013-01-14,CNN,0.2829
2013-01-15,CNN,0.1808
2013-01-16,CNN,0.3356
2013-01-17,CNN,0.4763
2013-01-18,CNN,0.4039
2013-01-19,CNN,0.6456
2013-01-20,CNN,0.291
2013-01-21,CNN,0.2003
2013-01-22,CNN,0.3138
2013-01-23,CNN,0.5042
2013-01-24,CNN,0.5458
2013-01-25,CNN,0.1567
2013-01-26,CNN,0.388
2013-01-27,CNN,0.4062
2013-01-28,CNN,0.108
2013-01-29,CNN,0.2747
2013-01-30,CNN,0.2783
2013-01-31,CNN,0.1405
2013-02-01,CNN,0.1153
2013-02-02,CNN,0.4445
2013-02-03,CNN,0.5809
2013-02-04,CNN,0.3027
2013-02-05,CNN,0.1843
2013-02-06,CNN,0.578
2013-02-07,CNN,0.2947
2013-02-08,CNN,0.0784
2013-02-09,CNN,0.3204
2013-02-10,CNN,0.2196
2013-02-11,CNN,0.532
2013-02-12,CNN,0.4885
2013-02-13,CNN,0.1441
2013-02-14,CNN,0.532
2013-02-15,CNN,0.359
2013-02-16,CNN,0.4643
2013-02-17,CNN,0.3842
2013-02-18,CNN,0.4599
2013-02-19,CNN,0.4344
2013-02-20,CNN,0.503
2013-02-21,CNN,0.2474
2013-02-22,CNN,0.3086
2013-02-23,CNN,0.4243
2013-02-24,CNN,0.3716
2013-02-25,CNN,0.3151
2013-02-26,CNN,0.2227
2013-02-27,CNN,0.3124
2013-02-28,CNN,0.1964
2013-03-01,CNN,0.3779
2013-03-02,CNN,0.4899
2013-03-03,CNN,0.3457
2013-03-04,CNN,0.1809
2013-03-05,CNN,0.1332
2013-03-06,CNN,0.4458
2013-03-07,CNN,0.2926
2013-03-08,CNN,0.3143
2013-03-09,CNN,0.5177
2013-03-10,CNN,0.2404
2013-03-11,CNN,0.136
2013-03-12,CNN,0.4317
2013-03-13,CNN,0.5683
2013-03-14,CNN,0.4564
2013-03-15,CNN,0.413
2013-03-16,CNN,0.3042
2013-03-17,CNN,0.3517
2013-03-18,CNN,0.423
2013-03-19,CNN,0.7317
2013-03-20,CNN,0.2905
2013-03-21,CNN,0.3553
2013-03-22,CNN,0.5426
2013-03-23,CNN,0.5314
2013-03-24,CNN,0.3681
2013-03-25,CNN,0.2156
2013-03-26,CNN,0.1618
2013-03-27,CNN,0.464
2013-03-28,CNN,0.7092
2013-03-29,CNN,0.1803
2013-03-30,CNN,0.4373
2013-03-31,CNN,0.6311
2013-04-01,CNN,0.6092
2013-04-02,CNN,0.1315
2013-04-03,CNN,0.6179
2013-04-04,CNN,0.3897
2013-04-05,CNN,0.2587
2013-04-06,CNN,0.3573
2013-04-07,CNN,0.2277
2013-04-08,CNN,0.0447
2013-04-09,CNN,0.4893
2013-04-10,CNN,0.3587
2013-04-11,CNN,0.402
2013-04-12,CNN,0.2497
2013-04-13,CNN,0.4728
2013-04-14,CNN,0.5871
2013-04-15,CNN,0.0934
2013-04-16,CNN,0.1348
2013-04-17,CNN,0.351
2013-04-18,CNN,0.1691
2013-04-19,CNN,0.4489
2013-04-20,CNN,0.261
2013-04-21,CNN,0.7282
2013-04-22,CNN,0.0623
2013-04-23,CNN,0.3373
2013-04-24,CNN,0.4534
2013-04-25,CNN,0.2914
2013-04-26,CNN,0.4266
2013-04-27,CNN,0.2905
2013-04-28,CNN,0.3372
2013-04-29,CNN,0.313
2013-04-30,CNN,0.335
2013-05-01,CNN,0.222
2013-05-02,CNN,0.1797
2013-05-03,CNN,0.3396
2013-05-04,CNN,0.4642
2013-05-05,CNN,0.317
2013-05-06,CNN,0.1554
2013-05-07,CNN,0.0669
2013-05-08,CNN,0.1297
2013-05-09,CNN,0.089
2013-05-10,CNN,0.0664
2013-05-11,CNN,0.1614
2013-05-12,CNN,0
2013-05-13,CNN,0.0663
2013-05-14,CNN,0.2217
2013-05-15,CNN,0.2234
2013-05-16,CNN,0.1538
2013-05-17,CNN,0.1997
2013-05-18,CNN,0.2336
2013-05-19,CNN,0.1729
2013-05-20,CNN,0.2064
2013-05-21,CNN,0.1131
2013-05-22,CNN,0.0906
2013-05-23,CNN,0.2201
2013-05-24,CNN,0.0684
2013-05-25,CNN,0.1618
2013-05-26,CNN,0.2172
2013-05-27,CNN,0.2199
2013-05-28,CNN,0.4566
2013-05-29,CNN,0.1826
2013-05-30,CNN,0.3645
2013-05-31,CNN,0.1372
2013-06-01,CNN,0.2129
2013-06-02,CNN,0.1815
2013-06-03,CNN,0.2131
2013-06-04,CNN,0.3839
2013-06-05,CNN,0.3194
2013-06-06,CNN,0.2267
2013-06-07,CNN,0.358
2013-06-08,CNN,0.3643
2013-06-09,CNN,0.3611
2013-06-10,CNN,0.4018
2013-06-11,CNN,1.0229
2013-06-12,CNN,0.3933
2013-06-13,CNN,0.4363
2013-06-14,CNN,0.4105
2013-06-15,CNN,0.4427
2013-06-16,CNN,0.416
2013-06-17,CNN,0.4988
2013-06-18,CNN,0.3791
2013-06-19,CNN,0.2864
2013-06-20,CNN,0.6367
2013-06-21,CNN,0.3347
2013-06-22,CNN,0.8767
2013-06-23,CNN,0.1259
2013-06-24,CNN,0.177
2013-06-25,CNN,0.2671
2013-06-26,CNN,0.4122
2013-06-27,CNN,0.4651
2013-06-28,CNN,0.6608
2013-06-29,CNN,0.8009
2013-06-30,CNN,0.4859
2013-07-01,CNN,0.1055
2013-07-02,CNN,0.1765
2013-07-03,CNN,0.4363
2013-07-04,CNN,0.2975
2013-07-05,CNN,0.1162
2013-07-06,CNN,0.3698
2013-07-07,CNN,0.4741
2013-07-08,CNN,0.0689
2013-07-09,CNN,0.0656
2013-07-10,CNN,0.2188
2013-07-11,CNN,0.1961
2013-07-12,CNN,0.242
2013-07-13,CNN,0.518
2013-07-14,CNN,1.2448
2013-07-15,CNN,0.7532
2013-07-16,CNN,0.4722
2013-07-17,CNN,0.5117
2013-07-18,CNN,0.1817
2013-07-19,CNN,0.1108
2013-07-20,CNN,0.4475
2013-07-21,CNN,0.9543
2013-07-22,CNN,0.7554
2013-07-23,CNN,0.4348
2013-07-24,CNN,0.2239
2013-07-25,CNN,0.5946
2013-07-26,CNN,0.1809
2013-07-27,CNN,0.1369
2013-07-28,CNN,0.1541
2013-07-29,CNN,0.2533
2013-07-30,CNN,0.3167
2013-07-31,CNN,0.431
2013-08-01,CNN,0.2452
2013-08-02,CNN,0.189
2013-08-03,CNN,0.2237
2013-08-04,CNN,0.4688
2013-08-05,CNN,0.1085
2013-08-06,CNN,0.0449
2013-08-07,CNN,0.6995
2013-08-08,CNN,0.2934
2013-08-09,CNN,0.1787
2013-08-10,CNN,0.2893
2013-08-11,CNN,0.4149
2013-08-12,CNN,0.1416
2013-08-13,CNN,0.0895
2013-08-14,CNN,0.2718
2013-08-15,CNN,0.4096
2013-08-16,CNN,0.3281
2013-08-17,CNN,0.2485
2013-08-18,CNN,0.3376
2013-08-19,CNN,0.3518
2013-08-20,CNN,0.1877
2013-08-21,CNN,0.404
2013-08-22,CNN,0.7092
2013-08-23,CNN,0.4449
2013-08-24,CNN,0.2543
2013-08-25,CNN,0.3979
2013-08-26,CNN,0.3834
2013-08-27,CNN,0.8741
2013-08-28,CNN,0.4053
2013-08-29,CNN,0.2601
2013-08-30,CNN,0.2578
2013-08-31,CNN,0.093
2013-09-01,CNN,0.488
2013-09-02,CNN,0.4587
2013-09-03,CNN,0.2139
2013-09-04,CNN,0.3015
2013-09-05,CNN,0.6271
2013-09-06,CNN,0.27
2013-09-07,CNN,0.1892
2013-09-08,CNN,0.4602
2013-09-09,CNN,0.16
2013-09-10,CNN,0.3766
2013-09-11,CNN,0.2538
2013-09-12,CNN,0.4123
2013-09-13,CNN,0.9546
2013-09-14,CNN,0.749
2013-09-15,CNN,0.1998
2013-09-16,CNN,0.5803
2013-09-17,CNN,0.0236
2013-09-18,CNN,0.2105
2013-09-19,CNN,0.3392
2013-09-20,CNN,0.7727
2013-09-21,CNN,0.5098
2013-09-22,CNN,0.8336
2013-09-23,CNN,0.9288
2013-09-24,CNN,0.5636
2013-09-25,CNN,0.4049
2013-09-26,CNN,0.8023
2013-09-27,CNN,0.5688
2013-09-28,CNN,0.6161
2013-09-29,CNN,0.1442
2013-09-30,CNN,0.4272
2013-10-01,CNN,0.3006
2013-10-02,CNN,0.3136
2013-10-03,CNN,0.4039
2013-10-04,CNN,1.0795
2013-10-05,CNN,0.2355
2013-10-06,CNN,0.6352
2013-10-07,CNN,0.5388
2013-10-08,CNN,0.2848
2013-10-09,CNN,0.4211
2013-10-10,CNN,0.2452
2013-10-11,CNN,0.4478
2013-10-12,CNN,0.3717
2013-10-13,CNN,0.427
2013-10-14,CNN,0.5673
2013-10-15,CNN,0.3129
2013-10-16,CNN,0.263
2013-10-17,CNN,0.3865
2013-10-18,CNN,0.5606
2013-10-19,CNN,0.5654
2013-10-20,CNN,0.8953
2013-10-21,CNN,0.2154
2013-10-22,CNN,0.4463
2013-10-23,CNN,1.0399
2013-10-24,CNN,0.8665
2013-10-25,CNN,0.7501
2013-10-26,CNN,0.408
2013-10-27,CNN,0.5938
2013-10-28,CNN,0.5187
2013-10-29,CNN,0.5323
2013-10-30,CNN,0.2544
2013-10-31,CNN,0.6926
2013-11-01,CNN,0.2816
2013-11-02,CNN,0.4522
2013-11-03,CNN,0.2334
2013-11-04,CNN,0.9217
2013-11-05,CNN,0.4151
2013-11-06,CNN,1.2042
2013-11-07,CNN,3.3216
2013-11-08,CNN,1.2101
2013-11-09,CNN,1.1715
2013-11-10,CNN,0.2875
2013-11-11,CNN,0.2642
2013-11-12,CNN,0.138
2013-11-13,CNN,0.0235
2013-11-14,CNN,0.3731
2013-11-15,CNN,0.1905
2013-11-16,CNN,0.2741
2013-11-17,CNN,0.1701
2013-11-18,CNN,0.1265
2013-11-19,CNN,0.4898
2013-11-20,CNN,0.1827
2013-11-21,CNN,0.3018
2013-11-22,CNN,0.1274
2013-11-23,CNN,0.3331
2013-11-24,CNN,0.0794
2013-11-25,CNN,0.1188
2013-11-26,CNN,0.2637
2013-11-27,CNN,1.1544
2013-11-28,CNN,0.1462
2013-11-29,CNN,0.254
2013-11-30,CNN,0.4266
2013-12-01,CNN,0.2109
2013-12-02,CNN,0.1666
2013-12-03,CNN,0.2507
2013-12-04,CNN,0.1143
2013-12-05,CNN,0.585
2013-12-06,CNN,0.3811
2013-12-07,CNN,0.5966
2013-12-08,CNN,0.092
2013-12-09,CNN,0.4564
2013-12-10,CNN,0.5864
2013-12-11,CNN,0.5508
2013-12-12,CNN,0.2954
2013-12-13,CNN,0.0608
2013-12-14,CNN,0.4367
2013-12-15,CNN,0.2281
2013-12-16,CNN,0.1647
2013-12-17,CNN,0.6121
2013-12-18,CNN,0.2447
2013-12-19,CNN,0.3691
2013-12-20,CNN,0.3222
2013-12-21,CNN,0.2474
2013-12-22,CNN,0.6214
2013-12-23,CNN,1.5257
2013-12-24,CNN,0.7629
2013-12-25,CNN,0.2364
2013-12-26,CNN,0.3026
2013-12-27,CNN,0.1597
2013-12-28,CNN,0.3645
2013-12-29,CNN,0.4775
2013-12-30,CNN,0.1656
2013-12-31,CNN,0.2994
2013-01-01,FOXNEWS,0.1992
2013-01-02,FOXNEWS,0.2331
2013-01-03,FOXNEWS,0.4748
2013-01-04,FOXNEWS,0
2013-01-05,FOXNEWS,0.2776
2013-01-06,FOXNEWS,0.5057
2013-01-07,FOXNEWS,0.27
2013-01-08,FOXNEWS,0.5404
2013-01-09,FOXNEWS,0.5283
2013-01-10,FOXNEWS,0.4781
2013-01-11,FOXNEWS,0.1646
2013-01-12,FOXNEWS,0.3325
2013-01-13,FOXNEWS,0.4553
2013-01-14,FOXNEWS,0.2546
2013-01-15,FOXNEWS,0.3302
2013-01-16,FOXNEWS,0.2642
2013-01-17,FOXNEWS,0.2842
