Date (Daily +00:00: 01/01/2014 - 12/31/2014),Series,Value
2014-01-01,CNN,0
2014-01-02,CNN,0
2014-01-03,CNN,0.0955
2014-01-04,CNN,0
2014-01-05,CNN,0
2014-01-06,CNN,0.075
2014-01-07,CNN,0
2014-01-08,CNN,0.0236
2014-01-09,CNN,0
2014-01-10,CNN,0
2014-01-11,CNN,0.1091
2014-01-12,CNN,0.0393
2014-01-13,CNN,0.0756
2014-01-14,CNN,0.0234
2014-01-15,CNN,0.023
2014-01-16,CNN,0
2014-01-17,CNN,0
2014-01-18,CNN,0
2014-01-19,CNN,0.0416
2014-01-20,CNN,0.0453
2014-01-21,CNN,0
2014-01-22,CNN,0
2014-01-23,CNN,0.1381
2014-01-24,CNN,0.1994
2014-01-25,CNN,0.1876
2014-01-26,CNN,0
2014-01-27,CNN,0.0848
2014-01-28,CNN,0.0238
2014-01-29,CNN,0
2014-01-30,CNN,0.1923
2014-01-31,CNN,0
2014-02-01,CNN,0
2014-02-02,CNN,0
2014-02-03,CNN,0
2014-02-04,CNN,0.0489
2014-02-05,CNN,0
2014-02-06,CNN,0
2014-02-07,CNN,0.0322
2014-02-08,CNN,0
2014-02-09,CNN,0
2014-02-10,CNN,0
2014-02-11,CNN,0.0296
2014-02-12,CNN,0.0288
2014-02-13,CNN,0
2014-02-14,CNN,0.0565
2014-02-15,CNN,0
2014-02-16,CNN,0
2014-02-17,CNN,0.0413
2014-02-18,CNN,0
2014-02-19,CNN,0.1081
2014-02-20,CNN,0.3802
2014-02-21,CNN,0.0298
2014-02-22,CNN,0.0321
2014-02-23,CNN,0.0373
2014-02-24,CNN,0
2014-02-25,CNN,0
2014-02-26,CNN,0
2014-02-27,CNN,0.0262
2014-02-28,CNN,0.1312
2014-03-01,CNN,0.0327
2014-03-02,CNN,0
2014-03-03,CNN,0
2014-03-04,CNN,0
2014-03-05,CNN,0
2014-03-06,CNN,0
2014-03-07,CNN,0
2014-03-08,CNN,0
2014-03-09,CNN,0
2014-03-10,CNN,0
2014-03-11,CNN,0
2014-03-12,CNN,0
2014-03-13,CNN,0
2014-03-14,CNN,0
2014-03-15,CNN,0
2014-03-16,CNN,0
2014-03-17,CNN,0
2014-03-18,CNN,0
2014-03-19,CNN,0.0272
2014-03-20,CNN,0.0301
2014-03-21,CNN,0.034
2014-03-22,CNN,0.0295
2014-03-23,CNN,0.0917
2014-03-24,CNN,0
2014-03-25,CNN,0.0291
2014-03-26,CNN,0.0251
2014-03-27,CNN,0
2014-03-28,CNN,0.0508
2014-03-29,CNN,0
2014-03-30,CNN,0
2014-03-31,CNN,0
2014-04-01,CNN,0
2014-04-02,CNN,0.0249
2014-04-03,CNN,0
2014-04-04,CNN,0
2014-04-05,CNN,0
2014-04-06,CNN,0
2014-04-07,CNN,0
2014-04-08,CNN,0
2014-04-09,CNN,0
2014-04-10,CNN,0
2014-04-11,CNN,0
2014-04-12,CNN,0
2014-04-13,CNN,0
2014-04-14,CNN,0
2014-04-15,CNN,0
2014-04-16,CNN,0
2014-04-17,CNN,0.1614
2014-04-18,CNN,0
2014-04-19,CNN,0
2014-04-20,CNN,0.0799
2014-04-21,CNN,0
2014-04-22,CNN,0
2014-04-23,CNN,0
2014-04-24,CNN,0
2014-04-25,CNN,0
2014-04-26,CNN,0.1288
2014-04-27,CNN,0.3503
2014-04-28,CNN,0.7913
2014-04-29,CNN,0.5048
2014-04-30,CNN,0.0924
2014-05-01,CNN,0.1374
2014-05-02,CNN,0
2014-05-03,CNN,0
2014-05-04,CNN,0
2014-05-05,CNN,0
2014-05-06,CNN,0.0231
2014-05-07,CNN,0
2014-05-08,CNN,0.0235
2014-05-09,CNN,0.0939
2014-05-10,CNN,0.031
2014-05-11,CNN,0.145
2014-05-12,CNN,0.1693
2014-05-13,CNN,0.2771
2014-05-14,CNN,0.0689
2014-05-15,CNN,0.0233
2014-05-16,CNN,0
2014-05-17,CNN,0.0674
2014-05-18,CNN,0.2734
2014-05-19,CNN,0.1674
2014-05-20,CNN,0
2014-05-21,CNN,0
2014-05-22,CNN,0
2014-05-23,CNN,0
2014-05-24,CNN,0.1065
2014-05-25,CNN,0
2014-05-26,CNN,0
2014-05-27,CNN,0
2014-05-28,CNN,0.0238
2014-05-29,CNN,0.0786
2014-05-30,CNN,0.0243
2014-05-31,CNN,0.0636
2014-06-01,CNN,0.061
2014-06-02,CNN,0.0675
2014-06-03,CNN,0
2014-06-04,CNN,0
2014-06-05,CNN,0
2014-06-06,CNN,0
2014-06-07,CNN,0.1004
2014-06-08,CNN,0
2014-06-09,CNN,0
2014-06-10,CNN,0
2014-06-11,CNN,0
2014-06-12,CNN,0
2014-06-13,CNN,0
2014-06-14,CNN,0.0345
2014-06-15,CNN,0
2014-06-16,CNN,0
2014-06-17,CNN,0
2014-06-18,CNN,0.031
2014-06-19,CNN,0
2014-06-20,CNN,0.0534
2014-06-21,CNN,0.1003
2014-06-22,CNN,0
2014-06-23,CNN,0.027
2014-06-24,CNN,0
2014-06-25,CNN,0.0284
2014-06-26,CNN,0.0581
2014-06-27,CNN,0
2014-06-28,CNN,0
2014-06-29,CNN,0
2014-06-30,CNN,0.04
2014-07-01,CNN,0.0244
2014-07-02,CNN,0.3047
2014-07-03,CNN,0.0367
2014-07-04,CNN,0.0294
2014-07-05,CNN,0
2014-07-06,CNN,0
2014-07-07,CNN,0.0274
2014-07-08,CNN,0
2014-07-09,CNN,0
2014-07-10,CNN,0
2014-07-11,CNN,0.1098
2014-07-12,CNN,0.0682
2014-07-13,CNN,0.1169
2014-07-14,CNN,0.1928
2014-07-15,CNN,0.2102
2014-07-16,CNN,0
2014-07-17,CNN,0
2014-07-18,CNN,0.0527
2014-07-19,CNN,0.2244
2014-07-20,CNN,0
2014-07-21,CNN,0
2014-07-22,CNN,0
2014-07-23,CNN,0
2014-07-24,CNN,0
2014-07-25,CNN,0
2014-07-26,CNN,0
2014-07-27,CNN,0
2014-07-28,CNN,0.0379
2014-07-29,CNN,0
2014-07-30,CNN,0
2014-07-31,CNN,0
2014-08-01,CNN,0
2014-08-02,CNN,0
