filename,time_range,Social Media Logo,Social Media Logo Type,Social Media Screenshot,Social Media Screenshot Type
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000179-000190.jpg,000179-000190,Yes,Twitter,Yes,Twitter
/MSNBCW_20200314_050000_The_Last_Word_With_Lawrence_ODonnell-000428-000435.jpg,000428-000435,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000076-000082.jpg,000076-000082,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000083-000089.jpg,000083-000089,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000090-000091.jpg,000090-000091,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000092-000093.jpg,000092-000093,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000094.jpg,000094,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000095.jpg,000095,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000096.jpg,000096,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000097-000098.jpg,000097-000098,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000099-000102.jpg,000099-000102,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000103-000104.jpg,000103-000104,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000105-000108.jpg,000105-000108,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000109-000113.jpg,000109-000113,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-000194-000226.jpg,000194-000226,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001075.jpg,001075,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001076-001077.jpg,001076-001077,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001078.jpg,001078,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001079-001080.jpg,001079-001080,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001081.jpg,001081,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001082.jpg,001082,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001083-001088.jpg,001083-001088,Yes,Twitter,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001341.jpg,001341,Yes,Parler,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001342.jpg,001342,Yes,Parler,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001343-001352.jpg,001343-001352,Yes,Parler,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001353.jpg,001353,Yes,Parler,No,N/A
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001404-001421.jpg,001404-001421,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001422.jpg,001422,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001423-001425.jpg,001423-001425,Yes,Twitter,Yes,Twitter
/MSNBCW_20210110_040000_The_Week_With_Joshua_Johnson-001426-001431.jpg,001426-001431,Yes,Twitter,Yes,Twitter
