filename,Social Media Logo,Social Media Logo Type,Social Media Post Screenshot,Social Media Screenshot Type
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000000-000008.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000009-000011.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000012.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000013.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000014.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000015.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000016.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000017-000019.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000020-000025.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000026-000031.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000032-000034.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000035-000050.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000051.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000052-000055.jpg,Yes,Twitter (bird logo),No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000056.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000057-000065.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000066.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000067-000080.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000081-000090.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000091-000097.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000098-000106.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000107-000119.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000120.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000121-000141.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/FOXNEWS/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000142.jpg,No,N/A,No,N/A
