filename,Social Media Logo,Social Media Logo Type,Social Media Post Screenshot,Social Media Screenshot Type
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000000.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000001.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000002.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000003.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000004.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000005.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000006.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000007.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000008.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000009.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000010.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000011.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000012-000015.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000016.jpg,Yes,X (X logo),No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000017.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000018-000029.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000030.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000031.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000032.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000033.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000034.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000035.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000036.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000037.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000038.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000039-000042.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000043.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000044.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000045-000048.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000049-000057.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000058.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000059-000072.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000073-000090.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000091-000094.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000095-000103.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000104-000106.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000107-000108.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000109-000125.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000126.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000127.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000128-000131.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000132.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000133-000138.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000139-000159.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000160.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000161-000165.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000166-000167.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000168-000170.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000171-000191.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000192-000196.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000197.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000198-000207.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000208-000221.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000222-000223.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000224-000230.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000231-000240.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000241-000246.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000247-000250.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000251-000259.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000260-000265.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000266-000269.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000270.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000271-000276.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000277-000282.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000283-000286.jpg,No,N/A,No,N/A
/home/hjaya002/LLMS/reduced_image_data/MSNBC/MSNBCW_20210110_050000_The_Week_With_Joshua_Johnson-000287.jpg,No,N/A,No,N/A
