filename,Social Media Logo,Logo Detection Confidence,Social Media Logo Type,Social Media Post Screenshot,Screenshot Detection Confidence,Social Media Screenshot Type
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000000-000005.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000006.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000007.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000008-000009.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000010.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000011.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000012.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000013-000016.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000017.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000018.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000019.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000020-000021.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000022.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000023.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000024.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000025.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000026.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000027.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000028.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000029.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000030.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000031-000032.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000033-000036.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000037.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000038.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000039.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000040.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000041.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000042-000043.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000044.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000045.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000046.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000047-000048.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000049.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000050.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000051.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_050000_Alex_Wagner_Tonight-000052-000053.jpg,No,N/A,N/A,No,N/A,N/A
