filename,Social Media Logo,Logo Detection Confidence,Social Media Logo Type,Social Media Post Screenshot,Screenshot Detection Confidence,Social Media Screenshot Type
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000000-000020.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000021-000039.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000040-000058.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000059-000076.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000077.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000078.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000079-000080.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000081-000083.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000084-000086.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000087-000095.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000096.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000097.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000098.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000099-000137.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000138-000145.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000146.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000147-000192.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000193-000211.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000212-000220.jpg,Yes,1,Truth Social,Yes,1,Truth Social
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000221-000253.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000254-000258.jpg,Yes,.9,Truth Social,Yes,.9,Truth Social
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000259-000301.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000302-000319.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000320-000330.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000331-000332.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000333.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000334-000335.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000336-000337.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000338.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000339-000342.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000343-000389.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000390.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000391.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000392-000395.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000396.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000397-000431.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000432-000441.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000442-000450.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000451-000461.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000462-000467.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000468-000471.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000472-000495.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000496-000498.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000499-000507.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000508-000533.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000534-000541.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000542-000545.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000546-000557.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000558.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000559-000569.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000570-000585.jpg,No,N/A,N/A,No,N/A,N/A
/home/hjaya002/LLMS/reduced_image_data_t5/MSNBC/MSNBCW_20240201_060000_The_Last_Word_With_Lawrence_ODonnell-000586-000589.jpg,No,N/A,N/A,No,N/A,N/A
