filename,time_range,Social Media Logo,Social Media Logo Type,Social Media Screenshot,Social Media Screenshot Type
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000136-000141.jpg,000136-000141,Yes,Twitter,Yes,Twitter
/CNNW_20200314_040000_Anderson_Cooper_360-002452-002459.jpg,002452-002459,Yes,Twitter,Yes,Twitter
/CNNW_20200314_050000_Cuomo_Prime_Time-001006-001010.jpg,001006-001010,Yes,Twitter,Yes,Twitter
/CNNW_20220425_050000_CNN_Newsroom_Live-000481-000494.jpg,000481-000494,Yes,Twitter,Yes,Twitter
/CNNW_20220425_050000_CNN_Newsroom_Live-000496-000508.jpg,000496-000508,Yes,Twitter,Yes,Twitter
/CNNW_20220425_050000_CNN_Newsroom_Live-000509.jpg,000509,Yes,Twitter,Yes,Twitter
/CNNW_20220425_050000_CNN_Newsroom_Live-000510.jpg,000510,Yes,Twitter,Yes,Twitter
/CNNW_20220425_050000_CNN_Newsroom_Live-000511-000523.jpg,000511-000523,Yes,Twitter,Yes,Twitter
/CNNW_20220425_050000_CNN_Newsroom_Live-000955-000967.jpg,000955-000967,No,N/A,Yes,Twitter
/CNNW_20240201_050000_Anderson_Cooper_360-000497-000498.jpg,000497-000498,Yes,"Discord, Discord, Meta",No,N/A
/CNNW_20240201_050000_Anderson_Cooper_360-000499.jpg,000499,Yes,"Discord, Meta, Snapchat, TikTok",No,N/A
/CNNW_20240201_050000_Anderson_Cooper_360-000500-000504.jpg,000500-000504,Yes,"Discord, Meta, Snapchat, TikTok, Twitter (X)",No,N/A
/CNNW_20240201_050000_Anderson_Cooper_360-002738-002745.jpg,002738-002745,Yes,YouTube,Yes,Youtube
/CNNW_20240201_050000_Anderson_Cooper_360-002763-002767.jpg,002763-002767,Yes,YouTube,Yes,Youtube
/CNNW_20240201_050000_Anderson_Cooper_360-002768.jpg,002768,Yes,YouTube,Yes,Youtube
/CNNW_20240201_050000_Anderson_Cooper_360-002806-002811.jpg,002806-002811,Yes,YouTube,Yes,Youtube
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-002721-002736.jpg,002721-002736,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-002739-002752.jpg,002739-002752,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-002759-002771.jpg,002759-002771,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003044-003051.jpg,003044-003051,Yes,Truth Social,Yes,Truth Social
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003084-003091.jpg,003084-003091,Yes,Truth Social,Yes,Truth Social
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003455-003461.jpg,003455-003461,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003466.jpg,003466,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003467-003468.jpg,003467-003468,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003469-003470.jpg,003469-003470,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003471-003472.jpg,003471-003472,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003473-003475.jpg,003473-003475,Yes,Twitter (X),Yes,Twitter (X)
/CNNW_20240201_060000_The_Source_With_Kaitlan_Collins-003476-003479.jpg,003476-003479,Yes,Twitter (X),Yes,Twitter (X)
