filename,time_range,Social Media Logo,Social Media Logo Type,Social Media Screenshot,Social Media Screenshot Type
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000052-000054.jpg,000052-000054,Yes,Twitter,No,N/A
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000317-000322.jpg,000317-000322,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000323-000329.jpg,000323-000329,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000330-000331.jpg,000330-000331,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000333.jpg,000333,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000334.jpg,000334,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000335.jpg,000335,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000336.jpg,000336,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000337.jpg,000337,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001097.jpg,001097,Yes,Instagram,No,N/A
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001098-001099.jpg,001098-001099,Yes,Instagram,No,N/A
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001100.jpg,001100,Yes,Instagram,No,N/A
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001101-001102.jpg,001101-001102,Yes,Instagram,No,N/A
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001103-001104.jpg,001103-001104,Yes,Instagram,No,N/A
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001183.jpg,001183,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001184-001187.jpg,001184-001187,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001188.jpg,001188,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001189-001197.jpg,001189-001197,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001315-001323.jpg,001315-001323,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-002582-002592.jpg,002582-002592,Yes,Twitter,Yes,Twitter
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003046.jpg,003046,Yes,Twitter,No,N/A
/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003047.jpg,003047,Yes,Twitter,No,N/A
