filename,Social Media Logo,Logo Detection Confidence,Social Media Logo Type,Social Media Post Screenshot,Screenshot Detection Confidence,Social Media Screenshot Type
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000000-000001.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000002.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000003.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000004-000006.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000007-000009.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000010.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000011.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000012.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000014-000015.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000016.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000017.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000018.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000019-000021.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000022.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000023.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000024.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000025.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000026.jpg,No,N/A,N/A,No,N/A,N/A
/MSNBCW_20200314_030000_The_11th_Hour_With_Brian_Williams-000027.jpg,No,N/A,N/A,No,N/A,N/A
